frame,fps
1332,36.38
1333,35.88
1334,33.08
1335,32.61
1336,36.29
1337,36.78
1338,32.51
1339,31.72
1340,36.32
1341,34.79
1342,33.52
1343,31.40
1344,37.29
1345,28.91
1346,40.46
1347,35.44
1348,36.40
1349,37.02
1350,31.78
1351,32.26
1352,37.58
1353,35.43
1354,33.22
1355,32.49
1356,37.36
1357,35.28
1358,32.49
1359,34.21
1360,36.21
1361,34.52
1362,31.64
1363,32.24
1364,39.06
1365,34.89
1366,31.81
1367,35.99
1368,31.11
1369,32.46
1370,29.82
1371,32.98
1372,42.13
1373,32.75
1374,35.21
1375,41.29
1376,24.35
1377,44.64
1378,42.76
1379,36.41
1380,27.49
1381,44.10
1382,33.30
1383,37.17
1384,35.12
1385,34.25
1386,31.92
1387,36.11
1388,36.23
1389,33.70
1390,30.51
1391,39.58
1392,35.06
1393,33.11
1394,31.51
1395,36.11
1396,37.46
1397,31.20
1398,32.76
1399,39.46
1400,34.88
1401,33.80
1402,30.51
1403,40.87
1404,33.03
1405,33.78
1406,34.96
1407,36.24
1408,33.48
1409,32.69
1410,34.09
1411,37.85
1412,32.11
1413,33.79
1414,31.59
1415,41.77
1416,33.65
1417,30.98
1418,35.50
1419,38.71
1420,32.22
1421,32.37
1422,36.68
1423,36.82
1424,32.12
1425,32.52
1426,35.31
1427,38.02
1428,30.25
1429,34.81
1430,37.90
1431,35.79
1432,31.29
1433,32.61
1434,33.51
1435,41.93
1436,32.03
1437,31.11
1438,38.77
1439,35.91
1440,31.41
1441,31.70
1442,32.89
1443,42.74
1444,33.43
1445,33.84
1446,35.95
1447,35.87
1448,32.40
1449,32.40
1450,36.54
1451,35.92
1452,32.22
1453,34.73
1454,37.18
1455,34.51
1456,31.77
1457,36.06
1458,35.42
1459,33.91
1460,32.44
1461,30.44
1462,43.96
1463,32.95
1464,31.44
1465,36.95
1466,36.53
1467,34.50
1468,30.02
1469,35.34
1470,35.93
1471,36.78
1472,30.77
1473,38.02
1474,33.82
1475,31.43
1476,33.08
1477,40.11
1478,35.21
1479,32.97
1480,31.91
1481,39.04
1482,34.68
1483,34.02
1484,30.52
1485,37.20
1486,34.09
1487,32.11
1488,34.24
1489,36.09
1490,38.43
1491,30.83
1492,34.11
1493,38.56
1494,35.07
1495,32.86
1496,32.19
1497,38.39
1498,34.86
1499,32.48
1500,34.50
1501,36.99
1502,31.34
1503,32.78
1504,32.96
1505,39.94
1506,34.34
1507,32.94
1508,31.66
1509,42.34
1510,33.54
1511,32.61
1512,34.13
1513,37.58
1514,31.93
1515,33.58
1516,35.50
1517,37.40
1518,30.48
1519,31.63
1520,33.03
1521,37.50
1522,32.93
1523,36.44
1524,33.82
1525,41.44
1526,31.89
1527,31.35
1528,39.25
1529,36.53
1530,31.89
1531,31.79
1532,36.02
1533,37.42
1534,31.46
1535,34.35
1536,36.78
1537,36.40
1538,31.64
1539,34.61
1540,34.54
1541,36.74
1542,31.75
1543,35.16
1544,34.69
1545,35.70
1546,31.84
1547,31.81
1548,42.46
1549,33.37
1550,31.83
1551,37.10
1552,34.96
1553,34.93
1554,30.92
1555,37.04
1556,35.93
1557,33.55
1558,31.38
1559,37.37
1560,35.15
1561,33.87
1562,32.51
1563,37.69
1564,34.59
1565,32.45
1566,31.16
1567,41.39
1568,33.96
1569,33.10
1570,29.39
1571,44.51
1572,34.06
1573,32.62
1574,32.79
1575,38.83
1576,33.46
1577,32.98
1578,32.21
1579,39.33
1580,33.80
1581,33.35
1582,33.92
1583,35.19
1584,32.07
1585,32.34
1586,31.31
1587,46.23
1588,32.57
1589,34.61
1590,29.13
1591,38.96
1592,36.18
1593,32.56
1594,35.66
1595,31.30
1596,39.26
1597,30.90
1598,37.15
1599,38.91
1600,33.52
1601,31.39
1602,34.83
1603,39.33
1604,32.84
1605,32.66
1606,33.95
1607,39.25
1608,31.90
1609,31.40
1610,36.94
1611,35.64
1612,32.93
1613,33.18
1614,37.20
1615,36.20
1616,30.96
1617,32.83
1618,33.60
1619,41.94
1620,31.55
1621,33.42
1622,33.74
1623,40.25
1624,31.93
1625,32.43
1626,36.95
1627,36.67
1628,30.93
1629,36.34
1630,37.24
1631,34.22
1632,31.30
1633,34.71
1634,37.58
1635,34.41
1636,31.08
1637,35.43
1638,37.62
1639,33.96
1640,30.46
1641,34.82
1642,38.44
1643,35.11
1644,31.55
1645,34.99
1646,37.27
1647,34.11
1648,30.79
1649,36.88
1650,29.67
1651,33.71
1652,32.32
1653,43.23
1654,29.69
1655,35.87
1656,34.82
1657,37.17
1658,24.05
1659,31.42
1660,51.08
1661,43.63
1662,38.12
1663,31.34
1664,33.45
1665,39.37
1666,34.82
1667,32.01
1668,30.28
1669,42.54
1670,34.87
1671,32.57
1672,32.06
1673,37.93
1674,34.15
1675,33.54
1676,31.73
1677,38.35
1678,35.18
1679,32.41
1680,34.48
1681,36.81
1682,34.29
1683,32.69
1684,31.95
1685,39.99
1686,32.75
1687,33.39
1688,34.14
1689,38.56
1690,33.13
1691,32.21
1692,34.26
1693,38.99
1694,31.69
1695,32.01
1696,35.61
1697,37.55
1698,32.65
1699,32.07
1700,34.38
1701,38.83
1702,30.97
1703,31.90
1704,37.35
1705,34.08
1706,38.48
1707,32.34
1708,37.60
1709,35.85
1710,32.89
1711,33.99
1712,35.76
1713,34.78
1714,32.63
1715,32.54
1716,36.25
1717,36.39
1718,32.39
1719,34.20
1720,36.16
1721,34.31
1722,32.99
1723,32.03
1724,39.76
1725,34.79
1726,31.76
1727,35.85
1728,35.96
1729,33.38
1730,31.12
1731,38.02
1732,35.10
1733,34.34
1734,32.21
1735,36.87
1736,34.38
1737,33.96
1738,30.29
1739,37.47
1740,33.96
1741,35.60
1742,32.59
1743,37.03
1744,35.78
1745,32.21
1746,32.69
1747,37.71
1748,32.28
1749,34.24
1750,31.17
1751,42.04
1752,35.63
1753,32.18
1754,31.43
1755,41.02
1756,33.80
1757,32.94
1758,31.52
1759,41.00
1760,34.06
1761,31.83
1762,33.15
1763,38.32
1764,33.19
1765,30.94
1766,35.44
1767,37.57
1768,34.88
1769,31.83
1770,37.05
1771,36.95
1772,33.10
1773,31.74
1774,33.23
