timestamp,temperature_C,cpu_percent,memory_percent,npu_utilization_percent
2026-02-03T13:29:57.854901,57.3,43.9,28.1,26.6
2026-02-03T13:30:00.058624,57.85,32.2,28.1,26.2
2026-02-03T13:30:02.262636,58.4,44.3,28.2,27.4
2026-02-03T13:30:04.465849,57.3,35.3,28.2,26.3
2026-02-03T13:30:06.674352,56.75,33.6,28.2,25.8
2026-02-03T13:30:08.877800,58.95,42.5,28.2,26.2
2026-02-03T13:30:11.080033,58.4,30.3,28.2,26.0
2026-02-03T13:30:13.282978,57.85,42.0,28.1,25.2
2026-02-03T13:30:15.485282,58.95,32.0,28.1,26.3
2026-02-03T13:30:17.688135,57.3,33.0,28.2,25.3
2026-02-03T13:30:19.890374,57.85,42.1,28.2,25.9
2026-02-03T13:30:22.092860,57.85,37.1,28.1,26.2
2026-02-03T13:30:24.295085,58.4,44.5,28.2,25.5
2026-02-03T13:30:26.501618,58.4,52.9,28.1,25.5
2026-02-03T13:30:28.704663,59.5,43.7,28.2,25.4
2026-02-03T13:30:30.910114,60.05,45.1,28.2,25.9
2026-02-03T13:30:33.113427,58.4,32.8,28.2,25.9
2026-02-03T13:30:35.318111,60.6,42.2,28.2,25.3
2026-02-03T13:30:37.521353,57.85,33.2,28.2,25.2
2026-02-03T13:30:39.723947,57.85,33.3,28.2,25.3
2026-02-03T13:30:41.926894,58.4,46.3,28.2,26.1
2026-02-03T13:30:44.132455,57.85,36.4,28.2,25.9
2026-02-03T13:30:46.337529,59.5,41.0,28.2,25.5
2026-02-03T13:30:48.541128,57.3,31.4,28.2,25.3
2026-02-03T13:30:50.745421,56.75,32.4,28.2,25.3
2026-02-03T13:30:52.950118,56.75,51.6,28.2,26.4
2026-02-03T13:30:55.155095,57.3,31.0,28.2,25.5
2026-02-03T13:30:57.358896,56.75,45.5,28.2,25.5
2026-02-03T13:30:59.563989,57.3,30.9,28.2,25.6
2026-02-03T13:31:01.769167,58.95,34.4,28.2,25.8
2026-02-03T13:31:03.971960,58.4,42.7,28.2,26.0
2026-02-03T13:31:06.174418,57.3,33.7,28.2,25.2
2026-02-03T13:31:08.379521,58.95,49.5,28.2,25.6
2026-02-03T13:31:10.584844,57.3,36.5,28.1,25.2
2026-02-03T13:31:12.787626,56.75,36.5,28.2,26.4
2026-02-03T13:31:14.991403,56.75,44.7,28.1,26.9
2026-02-03T13:31:17.193554,56.2,34.6,28.2,25.4
2026-02-03T13:31:19.396778,57.85,45.2,28.1,25.9
2026-02-03T13:31:21.600848,56.75,33.5,28.2,26.0
2026-02-03T13:31:23.804820,56.2,30.2,28.2,26.2
2026-02-03T13:31:26.007608,57.85,38.7,28.1,26.1
2026-02-03T13:31:28.211018,56.75,34.4,28.2,25.9
2026-02-03T13:31:30.414955,56.75,43.2,28.1,25.9
2026-02-03T13:31:32.618570,57.3,36.2,28.2,26.6
2026-02-03T13:31:34.825627,57.85,52.2,28.2,25.7
