timestamp,temperature_C,cpu_percent,memory_percent,npu_utilization_percent
2026-02-03T16:23:01.373318,57.3,49.9,14.5,38.4
2026-02-03T16:23:03.577833,57.3,43.8,14.5,37.8
2026-02-03T16:23:05.781095,57.85,41.5,14.5,37.3
2026-02-03T16:23:07.984973,57.85,54.8,14.5,37.8
2026-02-03T16:23:10.191979,57.85,44.0,14.5,37.8
2026-02-03T16:23:12.398204,57.85,55.7,14.5,38.7
2026-02-03T16:23:14.606682,56.75,42.0,14.5,37.1
2026-02-03T16:23:16.809860,57.85,49.8,14.5,37.6
2026-02-03T16:23:19.018234,58.4,55.1,14.5,37.5
2026-02-03T16:23:21.223111,58.4,54.5,14.5,39.1
2026-02-03T16:23:23.435858,56.75,54.5,14.5,38.8
2026-02-03T16:23:25.640704,57.85,45.1,14.5,37.3
2026-02-03T16:23:27.845046,57.3,46.7,14.5,38.1
2026-02-03T16:23:30.048976,58.4,38.9,14.5,37.7
2026-02-03T16:23:32.273336,56.75,44.5,14.5,38.9
2026-02-03T16:23:34.476366,57.85,39.9,14.5,38.4
2026-02-03T16:23:36.679280,57.85,49.5,14.5,38.2
2026-02-03T16:23:38.885525,58.95,55.5,14.5,38.1
2026-02-03T16:23:41.092686,58.4,55.6,14.5,38.5
2026-02-03T16:23:43.298713,57.85,45.7,14.5,38.0
2026-02-03T16:23:45.502916,57.85,51.6,14.5,37.8
2026-02-03T16:23:47.714788,57.85,60.1,14.5,38.3
2026-02-03T16:23:49.918770,58.95,45.4,14.5,38.3
2026-02-03T16:23:52.126644,57.85,59.8,14.5,38.4
2026-02-03T16:23:54.332167,58.4,55.9,14.5,38.2
2026-02-03T16:23:56.541621,57.85,55.3,14.5,38.2
2026-02-03T16:23:58.748225,57.85,42.9,14.5,37.9
2026-02-03T16:24:00.951628,56.2,46.1,14.5,38.6
2026-02-03T16:24:03.158683,57.85,32.4,14.5,38.0
2026-02-03T16:24:05.362849,58.4,57.3,14.5,37.8
2026-02-03T16:24:07.567624,58.4,52.0,14.5,38.0
2026-02-03T16:24:09.777221,58.4,62.3,14.5,38.0
2026-02-03T16:24:11.979767,58.4,56.6,14.5,38.5
2026-02-03T16:24:14.182456,59.5,60.9,14.5,38.5
2026-02-03T16:24:16.387021,60.05,57.9,14.5,38.5
2026-02-03T16:24:18.597939,58.4,61.4,14.5,38.3
2026-02-03T16:24:20.801481,59.5,58.0,14.5,38.0
2026-02-03T16:24:23.009408,58.95,59.5,14.5,38.2
2026-02-03T16:24:25.213495,60.05,59.0,14.5,37.9
2026-02-03T16:24:27.419478,57.85,46.4,14.5,37.5
2026-02-03T16:24:29.623500,57.85,54.8,14.5,39.0
2026-02-03T16:24:31.828696,57.85,41.1,14.5,38.0
2026-02-03T16:24:34.031829,57.85,48.5,14.5,38.4
2026-02-03T16:24:36.237476,57.85,41.6,14.5,38.3
2026-02-03T16:24:38.451118,58.4,61.3,14.5,37.5
2026-02-03T16:24:40.655243,58.4,43.7,14.5,38.0
2026-02-03T16:24:42.858281,58.95,55.0,14.5,40.3
2026-02-03T16:24:45.062739,57.85,46.0,14.5,38.3
2026-02-03T16:24:47.269329,58.4,52.9,14.5,39.2
2026-02-03T16:24:49.477246,57.3,43.2,14.5,37.6
2026-02-03T16:24:51.684146,57.85,54.1,14.5,38.7
2026-02-03T16:24:53.889152,58.95,56.9,14.5,38.6
2026-02-03T16:24:56.093613,57.85,62.7,14.5,38.6
2026-02-03T16:24:58.297372,57.85,51.2,14.5,37.7
2026-02-03T16:25:00.500595,57.85,61.8,14.6,38.6
2026-02-03T16:25:02.705189,58.95,63.3,14.6,38.0
2026-02-03T16:25:04.911895,57.85,49.3,14.5,38.5
2026-02-03T16:25:07.114246,58.4,52.5,14.5,37.3
2026-02-03T16:25:09.316635,59.5,56.1,14.5,37.4
2026-02-03T16:25:11.526089,58.4,60.9,14.5,37.2
2026-02-03T16:25:13.729740,58.95,38.6,14.5,38.6
2026-02-03T16:25:15.933548,58.95,50.9,14.5,38.6
2026-02-03T16:25:18.140169,58.95,43.6,14.5,37.3
2026-02-03T16:25:20.343792,57.3,50.2,14.5,37.8
2026-02-03T16:25:22.547215,57.3,43.0,14.5,37.2
2026-02-03T16:25:24.750859,57.85,44.0,14.5,38.3
2026-02-03T16:25:26.955726,57.3,44.3,14.5,37.8
2026-02-03T16:25:29.161536,57.85,51.6,14.5,37.3
2026-02-03T16:25:31.365610,58.4,45.3,14.5,37.4
2026-02-03T16:25:33.571595,58.4,45.6,14.5,37.4
2026-02-03T16:25:35.777360,58.4,47.8,14.5,37.5
2026-02-03T16:25:37.984832,57.85,49.5,14.5,37.8
2026-02-03T16:25:40.195659,58.4,50.3,14.5,37.1
2026-02-03T16:25:42.417087,57.85,48.0,14.6,37.3
2026-02-03T16:25:44.627493,58.4,61.0,14.5,37.5
2026-02-03T16:25:46.831397,58.95,52.1,14.5,37.4
2026-02-03T16:25:49.035116,60.05,49.0,14.6,37.1
2026-02-03T16:25:51.243379,58.4,49.9,14.5,37.6
2026-02-03T16:25:53.447929,58.95,58.3,14.5,37.4
2026-02-03T16:25:55.650093,59.5,44.4,14.5,38.0
2026-02-03T16:25:57.853365,57.85,51.7,14.5,37.7
2026-02-03T16:26:00.059121,57.85,44.5,14.5,37.6
2026-02-03T16:26:02.266778,57.85,56.0,14.5,37.8
2026-02-03T16:26:04.471284,57.85,45.2,14.5,38.4
2026-02-03T16:26:06.675839,57.3,52.4,14.5,37.7
2026-02-03T16:26:08.878678,57.85,41.0,14.5,37.1
2026-02-03T16:26:11.081592,57.3,50.5,14.5,37.2
2026-02-03T16:26:13.285675,58.95,44.7,14.5,37.8
2026-02-03T16:26:15.495737,58.4,47.2,14.5,38.2
2026-02-03T16:26:17.699642,57.85,50.0,14.5,37.9
2026-02-03T16:26:19.903213,56.2,41.4,14.5,37.1
2026-02-03T16:26:22.107645,58.95,51.8,14.5,37.6
2026-02-03T16:26:24.312039,58.4,51.7,14.5,38.4
2026-02-03T16:26:26.551685,58.4,57.9,14.5,38.4
